"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 10:08:45 GMT 2024","Thu Jul 25 10:08:45 GMT 2024","5","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Check claimable revenue",""
"passed","Thu Jul 25 10:08:24 GMT 2024","Thu Jul 25 10:08:24 GMT 2024","5","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet C can NOT register a derivative IP asset with licenseTokenIdA",""
"passed","Thu Jul 25 10:08:52 GMT 2024","Thu Jul 25 10:08:53 GMT 2024","1271","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset without License Tokens > Commercial remix PIL","","","Register derivative with commercial remix PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:49 GMT 2024","Thu Jul 25 10:08:50 GMT 2024","1483","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset without License Tokens > Commercial use PIL","","","Register derivative with commercial use PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:20 GMT 2024","Thu Jul 25 10:08:20 GMT 2024","109","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet B register an IP Asset with tokenIdB and get an ipId (ipIdB)",""
"passed","Thu Jul 25 10:08:24 GMT 2024","Thu Jul 25 10:08:24 GMT 2024","80","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet C register an IP Asset with tokenIdC and get an ipId (ipIdC)",""
"passed","Thu Jul 25 10:08:22 GMT 2024","Thu Jul 25 10:08:24 GMT 2024","1237","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Mint a NFT to WalletC and get a tokenId(tokenIdC)",""
"passed","Thu Jul 25 10:08:45 GMT 2024","Thu Jul 25 10:08:45 GMT 2024","49","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Claim royalty tokens",""
"passed","Thu Jul 25 10:08:45 GMT 2024","Thu Jul 25 10:08:45 GMT 2024","43","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Collect royalty tokens",""
"passed","Thu Jul 25 10:08:30 GMT 2024","Thu Jul 25 10:08:30 GMT 2024","64","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Attach License Terms to IN_DISPUTE IP Asset","","","Attach commericial remix PIL to IN_DISPUTE IP asset",""
